Type,Year,Age,High,m
0,2020,50,0,0.194152
0,2020,50,0,0.164002
2,2020,55,10.3,1.85903
2,2020,39,7.1,5.66496
33,2020,22,9.8,1.24616
33,2020,22,9.8,1.25869
33,2020,22,9.8,1.26548
33,2020,22,9.8,1.27052
33,2020,22,9.8,1.28254
33,2020,22,8.89,1.29434
33,2020,22,8.89,1.29976
33,2020,22,8.89,1.32225
33,2020,22,8.89,1.34459
33,2020,22,8.89,1.37251
33,2020,22,8.89,1.38963
33,2020,22,9.8,1.25484
33,2020,22,8.89,1.29091
33,2020,22,8.89,1.29199
33,2020,22,8.89,1.31891
33,2020,22,8.89,1.34135
33,2020,22,8.89,1.36935
33,2020,22,8.89,1.38659
33,2020,22,8.89,1.29289
33,2020,22,8.89,1.2941
33,2020,22,8.89,1.31671
33,2020,22,8.89,1.34347
33,2020,22,8.89,1.37154
33,2020,22,8.89,1.38889
33,2020,22,8.89,1.2905
33,2020,22,8.89,1.31312
33,2020,22,8.89,1.33603
33,2020,22,8.89,1.36797
33,2020,22,18.9,1.21531
33,2020,22,18.9,1.2119
33,2020,22,18.9,1.20838
33,2020,22,18.9,1.20768
33,2020,22,18.9,1.20425
33,2020,23,9.2,0.747759
33,2020,20,11.2,0.418655
33,2020,20,11.2,0.418655
33,2020,35,10.6,1.05736
2,2020,26,0,0.627961
33,2020,62,14.5,0.90102
2,2020,62,13.3,1.31585
2,2020,62,13.3,1.33351
2,2020,44,13.2,0.751711
33,2020,50,21.9,1.23695
33,2020,50,21.9,1.2852
33,2020,50,21.9,1.28959
33,2020,50,21.9,1.25011
33,2020,50,21.9,1.29836
33,2020,50,21.9,1.30275
33,2020,50,21.9,1.30713
33,2020,50,21.9,1.29836
33,2020,50,21.9,1.29836
33,2020,50,21.9,1.31152
33,2020,50,21.9,1.3159
33,2020,50,21.9,1.29836
2,2020,28,0,2.05851
2,2020,28,0,2.08607
2,2020,57,12.2,0.730975
2,2020,57,12.2,0.729642
2,2020,57,12.2,0.735198
2,2020,57,12.2,0.72855
2,2020,57,12.2,0.734052
2,2020,57,12.2,0.72732
2,2020,57,12.2,0.732815
2,2020,41,0,2.08802
2,2020,44,13.7,1.18649
2,2020,44,13.7,1.17916
2,2020,44,13.7,1.17884
2,2020,62,14.4,0.424315
33,2020,22,20.5,0.344653
33,2020,22,20.5,0.344637
33,2020,22,20.5,0.376786
33,2020,22,20.5,0.372243
33,2020,33,20.5,0.372294
33,2020,22,20.5,0.381416
33,2020,22,20.5,0.395348
33,2020,33,20.5,0.395402
33,2020,26,10.4,13.1333
33,2020,26,10.4,13.6106
33,2020,26,10.4,13.418
33,2020,26,10.4,13.2121
2,2020,20,12.3,4.1535
2,2020,58,6.5,1.50938
2,2020,58,6.5,1.53581
2,2020,58,6.5,1.51337
2,2020,58,6.5,1.50018
2,2020,45,11.1,0.908029
2,2020,45,11.1,0.898473
2,2020,51,9.5,0.87696
2,2020,62,9.5,0.894676
2,2020,51,9.5,0.899424
33,2020,56,12.9,1.21951
33,2020,56,12.9,1.24145
33,2020,56,12.9,1.21962
33,2020,56,12.9,1.26338
33,2020,56,12.9,1.25472
33,2020,56,12.9,1.25033
33,2020,56,12.9,1.24155
2,2020,51,0,1.25608
2,2020,51,0,1.27245
2,2020,50,13.8,4.04991
2,2020,50,13.8,4.01697
2,2020,50,13.8,4.01879
2,2020,50,13.8,3.98591
33,2020,26,13.8,3.54783
33,2020,26,13.8,3.53407
33,2020,26,13.8,3.51198
33,2020,26,13.8,3.49038
33,2020,26,13.8,3.48016
33,2020,26,13.8,3.46648
33,2020,26,13.8,3.44443
33,2020,26,13.8,3.485
33,2020,26,13.8,3.46971
33,2020,26,13.8,3.45845
2,2020,46,16.1,1.8371
2,2020,46,16.1,1.84684
2,2020,46,16.1,1.84637
2,2020,46,16.1,1.84581
2,2020,46,16.1,1.84553
2,2020,46,16.1,1.84524
2,2020,46,16.1,1.85622
2,2020,46,16.1,1.85565
2,2020,46,16.1,1.85498
2,2020,46,16.1,1.8546
2,2020,46,16.1,1.85422
2,2020,46,16.1,1.86492
2,2020,46,16.1,1.86492
0,2020,39,0,2.76701
2,2020,41,13.2,1.94194
33,2020,41,0,0.85527
33,2020,23,17.5,0.810649
33,2020,23,17.5,0.810462
33,2020,23,0,0.805005
33,2020,23,17.5,0.782689
33,2020,23,17.5,0.782509
33,2020,23,0,0.777262
33,2020,23,17.5,0.768558
33,2020,23,17.5,0.768381
33,2020,23,0,0.763148
33,2020,23,17.5,0.744965
33,2020,23,0,0.739754
33,2020,23,17.5,0.717044
33,2020,23,0,0.716648
33,2020,23,0,0.711858
33,2020,23,17.5,0.698529
33,2020,23,17.5,0.698369
33,2020,23,0,0.693201
33,2020,23,17.5,0.691085
33,2020,23,17.5,0.681714
33,2020,23,17.5,0.681525
33,2020,23,17.5,0.681274
