Type,Year,Age,Height,m
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,13.2,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,13.2,3
33,2019,37,14.3,3
33,2019,37,13.2,3
33,2019,37,13.2,3
2,2019,45,8.7,3
33,2019,37,14.3,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,13.2,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,13.2,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,13.2,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,37,14.3,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,14.3,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,14.3,3
33,2019,25,14.3,3
33,2019,25,14.3,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,14.3,3
33,2019,25,14.3,3
33,2019,25,14.3,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,14.3,3
33,2019,25,14.3,3
33,2019,25,14.3,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,14.3,3
33,2019,25,13.2,3
33,2019,25,13.2,3
33,2019,25,13.2,3
2,2019,49,10.5,3
33,2019,25,14.3,3
33,2019,25,13.2,3
2,2019,41,10.5,3
2,2019,49,10.5,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,46,17.7,3
2,2019,43,17.7,3
2,2019,43,17.7,3
2,2019,43,17.7,3
2,2019,43,21.8,3
2,2019,43,21.8,3
2,2019,43,21.8,3
2,2019,43,21.8,3
2,2019,43,21.8,3
2,2019,43,21.8,3
33,2019,21,20.29,3
33,2019,22,20.29,3
33,2019,22,20.29,3
33,2019,22,20.29,3
33,2019,22,21.5,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,22,20.29,3
33,2019,22,20.29,3
33,2019,22,20.29,3
33,2019,22,20.29,3
33,2019,22,21.5,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,22,20.29,3
33,2019,22,20.29,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,21,20.29,3
33,2019,22,20.29,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,21,20.29,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
33,2019,22,21.5,3
